ID_sample	NMDS1	NMDS2
SRR13921640	-0.06123772427493947	0.04661538219908589
SRR13921642	0.18543019335263133	-0.014963172587129156
SRR13921643	0.20704708241661893	0.12048323320790984
SRR13921644	0.05022187545547026	0.002772791326132837
SRR13921645	0.16770631705815148	-0.11217244971172302
SRR13921646	-0.14878967124671705	-0.1534504829908151
SRR13921647	0.0035492670736621307	-0.054597190653316814
SRR13921648	0.026064570836023346	-0.09748637338881452
SRR13921649	0.06875349689761524	0.05356425593644822
SRR13921650	0.21494386380203487	-0.02576080210208144
SRR13921651	-0.06768798188433865	0.15703400741353368
SRR13921653	-0.04266260238407511	-0.2025792548349692
SRR13921654	0.05548853627273779	0.16156600928801618
SRR13921655	0.15667967609205358	-0.1941329283539724
SRR13921656	-0.34072313951633426	-0.011353592881084491
SRR13921657	-0.3515957756894711	-0.3175730040777483
SRR13921658	-0.10828092919771388	0.02131525311625734
SRR13921659	0.07088979300861473	-0.2299403461197297
SRR13921660	0.16464258998239908	0.021834086044624383
SRR13921661	0.3965275398529083	0.013329478177729606
SRR13921662	0.20301567666239848	0.088245758722345
SRR13921664	0.14591653573087687	0.2161205278421951
SRR13921665	-0.07503648171971497	0.07558747952489484
SRR13921666	0.009581625513814604	-0.007632165952548305
SRR13921739	0.07443339891724467	-0.0693616752540068
SRR13921740	-0.13925578908169242	0.12369326952987157
SRR13921741	0.22636124617893594	0.004798644638696468
SRR13921742	-0.12855512247715944	-0.3293001285775491
SRR13921743	-0.10075130109071417	-0.029886689062308902
SRR13921744	-0.1186596849862797	-0.07019235959524935
SRR13921745	0.06616190769024638	0.01381205678740743
SRR13921747	-0.37809382949590054	0.05687265211374979
SRR13921748	0.03816108288977617	0.37870364508835885
SRR13921749	-0.47024624263916337	0.36403408518578956
